City Name,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Goderich,43.7501,-81.7165,19.4,79,100,14.97,CA,1612669266
Yellowknife,62.456,-114.3525,-42.0,66,1,2.3,CA,1612669304
Busselton,-33.65,115.3333,61.0,94,100,3.0,AU,1612669505
Saint-Louis,16.3333,-15.0,64.4,59,0,2.3,SN,1612669452
Altagracia de Orituco,9.8601,-66.3814,70.65,82,99,6.71,VE,1612669505
Castro,-24.7911,-50.0119,60.75,90,67,9.62,BR,1612669454
Alyangula,-13.8483,136.4192,86.0,70,90,19.57,AU,1612669505
Fortuna,40.5982,-124.1573,48.0,93,90,9.51,US,1612669505
Punta Arenas,-53.15,-70.9167,48.2,76,0,11.5,CL,1612669451
Port Alfred,-33.5906,26.891,68.0,83,34,4.0,ZA,1612669505
Gorin,51.1983,136.6669,4.77,91,100,8.81,RU,1612669505
Chui,-33.6971,-53.4616,65.79,88,0,7.05,UY,1612669505
Akureyri,65.6835,-18.0878,32.0,74,90,5.75,IS,1612669340
Buala,-8.145,159.5921,78.55,83,100,4.56,SB,1612669505
Lewiston,44.1003,-70.2148,28.4,43,1,8.05,US,1612669453
East London,-33.0153,27.9116,66.2,94,20,11.5,ZA,1612669506
Micheweni,-4.9667,39.8333,81.23,75,98,8.68,TZ,1612669506
Puerto Ayora,-0.7393,-90.3518,77.0,95,69,7.23,EC,1612669506
Hong Kong,22.2855,114.1577,77.0,38,0,14.97,HK,1612669233
Atuona,-9.8,-139.0333,79.83,80,86,21.9,PF,1612669506
Vostok,46.4856,135.8833,-2.61,89,100,5.46,RU,1612669506
Airai,-8.9266,125.4092,73.17,79,42,5.79,TL,1612669506
Kapaa,22.0752,-159.319,71.6,56,75,3.44,US,1612669451
Esperance,-33.8667,121.9,60.8,94,90,12.66,AU,1612669506
Tuktoyaktuk,69.4541,-133.0374,-14.8,76,90,21.85,CA,1612669490
Khandagayty,50.7333,92.05,2.07,90,100,2.35,RU,1612669507
Rikitea,-23.1203,-134.9692,78.42,71,87,10.58,PF,1612669288
Hithadhoo,-0.6,73.0833,81.73,74,71,11.41,MV,1612669448
Ushuaia,-54.8,-68.3,48.2,76,75,12.66,AR,1612669507
Hambantota,6.1241,81.1185,78.8,94,0,8.05,LK,1612669507
Mar del Plata,-38.0023,-57.5575,64.0,77,20,11.5,AR,1612669446
Port Elizabeth,-33.918,25.5701,68.0,77,0,12.66,ZA,1612669344
Palmer,42.1584,-72.3287,21.99,63,75,3.18,US,1612669488
Ulaangom,49.9811,92.0667,-0.94,90,54,2.17,MN,1612669480
Saint Paul Harbor,57.79,-152.4072,33.8,60,1,5.75,US,1612669438
Neyyāttinkara,8.4,77.0833,86.0,70,20,3.44,IN,1612669507
Provideniya,64.3833,-173.3,-2.43,86,1,8.88,RU,1612669300
Butaritari,3.0707,172.7902,80.92,80,60,21.21,KI,1612669294
Mataura,-46.1927,168.8643,78.85,46,15,4.16,NZ,1612669454
Cockburn Town,21.4612,-71.1419,77.36,76,5,22.7,TC,1612669211
Barrow,71.2906,-156.7887,-4.0,77,90,14.97,US,1612669508
New Norfolk,-42.7826,147.0587,71.01,42,19,5.01,AU,1612669508
Hobart,-42.8794,147.3294,71.01,48,20,23.02,AU,1612669476
Chokurdakh,70.6333,147.9167,-24.84,85,60,5.44,RU,1612669508
Nuevo Progreso,23.1667,-97.95,66.99,92,65,5.99,MX,1612669509
Velizh,55.6056,31.1967,-1.48,93,78,5.48,RU,1612669509
